FEATURE,FEATURE2,NAME,POP 2010,COUNTY,COUNTY FIPS,STATE,STATE FIPS,LATITUDE,LONGITUDE
Census,-999,Bartonsville,1451,Frederick,021,MD,24,39.3926025,-77.3580402
Census,-999,Asherville,28,Mitchell,123,KS,20,39.4058375,-97.9769886
Census,-999,New Baltimore,661,Hamilton,061,OH,39,39.2647785,-84.6674475
Census,-999,Trowbridge,226,Sutter,101,CA,06,38.9107301,-121.525237
Census,-999,Skyland,376,Douglas,005,NV,32,39.0224082,-119.9482371
Census,-999,Kingstowne,15556,Fairfax,059,VA,51,38.762412,-77.1444394
Census,-999,Bealeton,4435,Fauquier,061,VA,51,38.5717898,-77.7638815
Census,-999,Salmon Creek,86,Sonoma,097,CA,06,38.350472,-123.0622242
Census,-999,Coaldale,255,Fremont,043,CO,08,38.3655533,-105.7577836
Census,-999,Nanticoke Acres,103,Wicomico,045,MD,24,38.2584557,-75.9102105
Census,-999,Hartley,2510,Solano,095,CA,06,38.4171313,-121.9469106
Census,-999,Parrott,435,Pulaski,155,VA,51,37.2051248,-80.615617
Census,-999,Youngsville,56,Rio Arriba,039,NM,35,36.1875177,-106.5564244
Census,-999,Rose,285,Mayes,097,OK,40,36.2234819,-95.05346329
Census,-999,Falling Water,1232,Hamilton,065,TN,47,35.2031249,-85.2535698
Census,-999,Whitewater,859,Riverside,065,CA,06,33.9355876,-116.687212
Census,-999,Nadine,376,Lea,025,NM,35,32.6240031,-103.1274236
Census,-999,Orogrande,52,Otero,035,NM,35,32.3712073,-106.0844276
Census,-999,Arenas Valley,1522,Grant,017,NM,35,32.7939639,-108.1842122
Census,County Seat,Palo Pinto,333,Palo Pinto,363,TX,48,32.7673486,-98.2986602
Census,-999,Bourg,2579,Terrebonne,109,LA,22,29.5535491,-90.6023096
Census,-999,Ironton,140,Charlevoix,029,MI,26,45.2561191,-85.1867298
Populated Place,-999,Quebrada del Agua,1325,Ponce,113,PR,72,18.0379017,-66.6845708
Census,-999,Addy,268,Stevens,065,WA,53,48.3560098,-117.8374738
Census,-999,Merrifield,140,Crow Wing,035,MN,27,46.4649663,-94.1727715
Census,-999,Watersmeet,428,Gogebic,053,MI,26,46.2677264,-89.1779179
Census,-999,Umapine,315,Umatilla,059,OR,41,45.9765234,-118.496362
Census,-999,Post Lake,374,Langlade,067,WI,55,45.4407958,-89.0803935
Census,-999,Irasburg,163,Orleans,019,VT,50,44.8033816,-72.2795489
Census,-999,Bancroft,535,Portage,097,WI,55,44.3096935,-89.5137302
Census,-999,Brogan,90,Malheur,045,OR,41,44.2462699,-117.517134
Census,-999,Dorset,249,Bennington,003,VT,50,43.2547975,-73.0987163
Census,-999,Nesika Beach,463,Curry,015,OR,41,42.506221,-124.4134382
Census,-999,Turtle Lake,343,Walworth,127,WI,55,42.727368,-88.680215
Census,-999,Takilma,378,Josephine,033,OR,41,42.0515036,-123.6195107
Census,-999,Fields Landing,276,Humboldt,023,CA,06,40.7245711,-124.2150604
Census,-999,Flournoy,101,Tehama,103,CA,06,39.920433,-122.4361082
Census,-999,Carolina,411,Marion,049,WV,54,39.4803621,-80.2734176
Census,-999,Hartwell,16,Henry,083,MO,29,38.4352964,-93.934662
Census,-999,Pontiac,175,Ozark,153,MO,29,36.5156205,-92.603776
Census,-999,Henrietta,461,Rutherford,161,NC,37,35.2578999,-81.7962126
Census,-999,Marshallberg,403,Carteret,031,NC,37,34.7279403,-76.5157565
